,player,position,team,birthdate,birthyear,birthmonth,birthday,currentyear,age
382,Odell Beckham Jr.,WR,CLE,1992-11-05,1992,11,5,2021,29
383,Will Fuller V,WR,MIA,1994-04-16,1994,4,16,2021,27
384,Joe Burrow,QB,CIN,1996-12-10,1996,12,10,2021,25
385,Raheem Mostert,RB,SF,1992-04-09,1992,4,9,2021,29
386,Zack Moss,RB,BUF,1997-12-15,1997,12,15,2021,24
387,Najee Harris,RB,FA,1998-03-09,1998,3,9,2021,23
388,Travis Etienne,RB,FA,1999-01-26,1999,1,26,2021,22
389,Tarik Cohen,RB,CHI,1995-07-26,1995,7,26,2021,26
390,Ja'Marr Chase,WR,FA,2000-03-01,2000,3,1,2021,21
391,Kyle Pitts,TE,FA,2000-10-06,2000,10,6,2021,21
392,Parris Campbell,WR,IND,1997-07-16,1997,7,16,2021,24
393,Trevor Lawrence,QB,FA,1999-10-06,1999,10,6,2021,22
394,Devonta Smith,WR,FA,1998-11-14,1998,11,14,2021,23
395,Blake Jarwin,TE,DAL,1994-07-16,1994,7,16,2021,27
396,Justin Fields,QB,FA,1999-03-05,1999,3,5,2021,22
397,Kenny Gainwell,RB,FA,1999-03-14,1999,3,14,2021,22
398,Javonte Williams,RB,FA,2000-04-25,2000,4,25,2021,21
399,Rashod Bateman,WR,FA,1999-11-29,1999,11,29,2021,22
400,Jaylen Waddle,WR,FA,1998-11-25,1998,11,25,2021,23
401,Marlon Mack,RB,IND,1996-03-07,1996,3,7,2021,25
402,Adam Trautman,TE,NO,1997-02-05,1997,2,5,2021,24
403,O.J. Howard,TE,TB,1994-11-19,1994,11,19,2021,27
404,Chuba Hubbard,RB,FA,1999-06-11,1999,6,11,2021,22
405,Rondale Moore,WR,FA,2000-06-09,2000,6,9,2021,21
406,Zach Wilson,QB,FA,1999-08-03,1999,8,3,2021,22
407,Jimmy Garoppolo,QB,SF,1991-11-02,1991,11,2,2021,30
408,Terrace Marshall Jr.,WR,FA,2000-06-09,2000,6,9,2021,21
409,Amon-Ra St. Brown,WR,FA,1999-10-24,1999,10,24,2021,22
410,Pat Freiermuth,TE,FA,1998-10-25,1998,10,25,2021,23
411,Brevin Jordan,TE,FA,2000-07-16,2000,7,16,2021,21
412,Tyler Johnson,WR,TB,1998-08-25,1998,8,25,2021,23
413,Trey Lance,QB,FA,2000-05-09,2000,5,9,2021,21
414,Michael Carter,RB,FA,1999-05-07,1999,5,7,2021,22
415,Dan Bailey,K,FA,1988-01-26,1988,1,26,2021,33
416,Albert Okwuegbunam,TE,DEN,1998-04-25,1998,4,25,2021,23
417,Jermar Jefferson,RB,FA,2000-04-15,2000,4,15,2021,21
418,Brett Maher,K,FA,1989-11-21,1989,11,21,2021,32
419,Kadarius Toney,WR,FA,1999-01-27,1999,1,27,2021,22
420,Trey Sermon,RB,FA,1999-01-30,1999,1,30,2021,22
421,Elijah Moore,WR,FA,2000-03-27,2000,3,27,2021,21
422,Tylan Wallace,WR,FA,1999-05-13,1999,5,13,2021,22
423,Damien Williams,RB,FA,1992-04-03,1992,4,3,2021,29
424,Dyami Brown,WR,FA,1999-11-01,1999,11,1,2021,22
425,Kylin Hill,RB,FA,1998-08-18,1998,8,18,2021,23
426,Mac Jones,QB,FA,1998-09-05,1998,9,5,2021,23
427,Adam Vinatieri,K,FA,1972-12-28,1972,12,28,2021,49
428,Matt Bryant,K,FA,1975-05-29,1975,5,29,2021,46
429,Stephen Hauschka,K,FA,1985-06-29,1985,6,29,2021,36
430,Tamorrion Terry,WR,FA,1998-03-21,1998,3,21,2021,23
431,D'Wayne Eskridge,WR,FA,1997-03-23,1997,3,23,2021,24
432,Josh Lambo,K,JAC,1990-11-19,1990,11,19,2021,31
433,Auden Tate,WR,CIN,1997-02-03,1997,2,3,2021,24
434,Rhamondre Stevenson,RB,FA,1998-02-23,1998,2,23,2021,23
435,Randy Bullock,K,DET,1989-12-16,1989,12,16,2021,32
436,Tutu Atwell,WR,FA,1999-10-07,1999,10,7,2021,22
437,Ryquell Armstead,RB,JAC,1996-10-30,1996,10,30,2021,25
438,Dede Westbrook,WR,JAC,1993-11-21,1993,11,21,2021,28
440,Jalen Hurd,WR,SF,1996-01-24,1996,1,24,2021,25
441,JaMycal Hasty,RB,SF,1996-09-12,1996,9,12,2021,25
442,Donald Parham Jr.,TE,LAC,1997-08-16,1997,8,16,2021,24
444,Jaret Patterson,RB,FA,1999-12-23,1999,12,23,2021,22
445,Antonio Gandy-Golden,WR,WAS,1998-04-11,1998,4,11,2021,23
446,Jordan Love,QB,GB,1998-11-02,1998,11,2,2021,23
448,Devin Asiasi,TE,NE,1997-08-14,1997,8,14,2021,24
449,Kyle Trask,QB,FA,1998-03-06,1998,3,6,2021,23
450,JJ Arcega-Whiteside,WR,PHI,1996-12-31,1996,12,31,2021,25
452,Shi Smith,WR,FA,1998-10-26,1998,10,26,2021,23
453,Amari Rodgers,WR,FA,1999-09-23,1999,9,23,2021,22
454,Foster Moreau,TE,LV,1997-05-06,1997,5,6,2021,24
455,Josh Oliver,TE,BAL,1997-03-21,1997,3,21,2021,24
457,Demetric Felton,WR,FA,1998-07-16,1998,7,16,2021,23
458,Nico Collins,WR,FA,1999-03-19,1999,3,19,2021,22
459,Kelvin Harmon,WR,WAS,1997-12-15,1997,12,15,2021,24
460,Sage Surratt,WR,FA,1998-04-13,1998,4,13,2021,23
462,Anthony Schwartz,WR,FA,2000-09-05,2000,9,5,2021,21
463,Rex Burkhead,RB,NE,1990-07-02,1990,7,2,2021,31
464,Tyrell Williams,WR,DET,1992-04-12,1992,4,12,2021,29
467,Kahale Warring,TE,HOU,1997-03-23,1997,3,23,2021,24
470,Brycen Hopkins,TE,LAR,1997-03-27,1997,3,27,2021,24
471,Aldrick Rosas,K,JAC,1994-12-30,1994,12,30,2021,27
472,Dante Pettis,WR,NYG,1995-10-23,1995,10,23,2021,26
474,Derrius Guice,RB,FA,1997-06-21,1997,6,21,2021,24
476,Deonte Harris,WR,NO,1997-12-04,1997,12,4,2021,24
477,Jamie Newman,QB,FA,1997-12-01,1997,12,1,2021,24
478,Tyler Vaughns,WR,FA,1997-06-01,1997,6,1,2021,24
479,Hakeem Butler,WR,PHI,1996-05-16,1996,5,16,2021,25
480,Lamar Miller,RB,WAS,1991-04-25,1991,4,25,2021,30
481,C.J. Uzomah,TE,CIN,1993-01-14,1993,1,14,2021,28
482,KeeSean Johnson,WR,ARI,1996-10-09,1996,10,9,2021,25
483,Dazz Newsome,WR,FA,1999-05-15,1999,5,15,2021,22
484,Kenny Yeboah,TE,FA,1998-10-30,1998,10,30,2021,23
486,Chris Evans,RB,FA,1997-10-05,1997,10,5,2021,24
488,Kyle Allen,QB,WAS,1996-03-08,1996,3,8,2021,25
489,Freddie Swain,WR,SEA,1998-08-04,1998,8,4,2021,23
490,Dalton Keene,TE,NE,1999-04-14,1999,4,14,2021,22
491,Isaiah McKenzie,WR,BUF,1995-04-09,1995,4,9,2021,26
492,Chandler Catanzaro,K,FA,1991-02-26,1991,2,26,2021,30
493,John Hightower,WR,PHI,1996-05-31,1996,5,31,2021,25
495,Robert Griffin III,QB,FA,1990-02-12,1990,2,12,2021,31
496,Kaden Smith,TE,NYG,1997-04-24,1997,4,24,2021,24
497,Jacob Eason,QB,IND,1997-11-17,1997,11,17,2021,24
498,Quez Watkins,WR,PHI,1998-06-09,1998,6,9,2021,23
499,Zay Jones,WR,LV,1995-03-30,1995,3,30,2021,26
500,Geronimo Allison,WR,DET,1994-01-18,1994,1,18,2021,27
501,Devin Funchess,WR,GB,1994-05-21,1994,5,21,2021,27
502,Phillip Walker,QB,CAR,1995-02-26,1995,2,26,2021,26
503,Ryan Griffin,TE,NYJ,1990-01-11,1990,1,11,2021,31
504,Bo Scarbrough,RB,SEA,1996-09-29,1996,9,29,2021,25
505,Chris Conley,WR,HOU,1992-10-25,1992,10,25,2021,29
506,Ihmir Smith-Marsette,WR,FA,1999-08-29,1999,8,29,2021,22
507,Mason Rudolph,QB,PIT,1995-07-17,1995,7,17,2021,26
508,John Wolford,QB,LAR,1995-10-16,1995,10,16,2021,26
509,Isaiah Coulter,WR,HOU,1998-09-18,1998,9,18,2021,23
510,Taylor Heinicke,QB,WAS,1993-03-15,1993,3,15,2021,28
511,Ashton Dulin,WR,IND,1997-05-15,1997,5,15,2021,24
512,Kellen Mond,QB,FA,1999-06-22,1999,6,22,2021,22
513,Cedrick Wilson,WR,DAL,1995-11-20,1995,11,20,2021,26
514,Maxx Williams,TE,ARI,1994-04-12,1994,4,12,2021,27
515,Jason Huntley,RB,PHI,1998-04-20,1998,4,20,2021,23
516,Albert Wilson,WR,MIA,1992-07-12,1992,7,12,2021,29
517,Ricky Seals-Jones,TE,KC,1995-03-15,1995,3,15,2021,26
518,Chad Henne,QB,KC,1985-07-02,1985,7,2,2021,36
519,K.J. Hill,WR,LAC,1997-09-15,1997,9,15,2021,24
520,Jaeden Graham,TE,ATL,1995-10-10,1995,10,10,2021,26
521,Lil'Jordan Humphrey,WR,NO,1998-04-19,1998,4,19,2021,23
522,Hunter Bryant,TE,DET,1998-08-20,1998,8,20,2021,23
523,Cornell Powell,WR,FA,1997-10-30,1997,10,30,2021,24
524,Equanimeous St. Brown,WR,GB,1996-09-30,1996,9,30,2021,25
525,Robert Foster,WR,MIA,1994-05-07,1994,5,7,2021,27
527,Josiah Deguara,TE,GB,1997-02-14,1997,2,14,2021,24
528,Tyler Kroft,TE,NYJ,1992-10-15,1992,10,15,2021,29
529,Deon Cain,WR,BAL,1996-08-09,1996,8,9,2021,25
530,Phillip Dorsett II,WR,JAC,1993-01-05,1993,1,5,2021,28
531,Stephen Anderson,TE,LAC,1993-01-30,1993,1,30,2021,28
532,Trey Quinn,WR,LV,1995-12-07,1995,12,7,2021,26
533,Colby Parkinson,TE,SEA,1999-01-08,1999,1,8,2021,22
534,Jared Pinkney,TE,TEN,1997-08-21,1997,8,21,2021,24
536,Raymond Calais,RB,LAR,1998-04-02,1998,4,2,2021,23
537,Taylor Gabriel,WR,FA,1991-02-17,1991,2,17,2021,30
538,Byron Pringle,WR,KC,1993-11-17,1993,11,17,2021,28
540,Chad Beebe,WR,MIN,1994-06-01,1994,6,1,2021,27
542,Jason Witten,TE,LV,1982-05-06,1982,5,6,2021,39
543,Jonathan Williams,RB,WAS,1994-02-02,1994,2,2,2021,27
544,Donte Moncrief,WR,HOU,1993-08-06,1993,8,6,2021,28
545,Justin Watson,WR,TB,1996-04-04,1996,4,4,2021,25
546,Ian Book,QB,FA,1998-03-30,1998,3,30,2021,23
547,Theo Riddick,RB,LV,1991-05-04,1991,5,4,2021,30
548,Nick Mullens,QB,FA,1995-03-21,1995,3,21,2021,26
549,Jake Fromm,QB,BUF,1998-07-30,1998,7,30,2021,23
